Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746052819.45,37.87407395075583,-122.25527855010404,34.5,2.0,4.0,4.0,24.83234375,46.057082348556406,1000.3197924023416,108.21330978619073,233981.5
1746052821.49,37.87404586898078,-122.25529192477194,40.0,2.0,4.0,4.0,24.83908203125,46.33910104898361,1000.3331398771509,108.1010218788433,231586.5
1746052823.43,37.8738182253069,-122.2554560247964,40.0,2.0,4.0,4.0,24.85041015625,46.640126115060546,1000.3314581281469,108.1151697917845,229427.5
1746052825.48,37.87372955746454,-122.25553208839975,31.5,2.0,4.0,4.0,24.860078125,46.8513620667357,1000.3362616651971,108.07475949355023,230494.0
1746052827.45,37.873711773435595,-122.25554661782347,32.0,2.0,4.0,4.0,24.8690625,46.93655275325331,1000.3483883017266,107.97274353858528,232659.0
1746052829.48,37.8737314776246,-122.2556556358799,39.0,2.0,4.0,4.0,24.87306640625,46.83493009237782,1000.3808234968501,107.6998854434403,237172.5
1746052831.45,37.873750483881864,-122.25572614943758,39.0,2.0,4.0,4.0,24.8747265625,46.59509622563102,1000.421114933593,107.36094710922178,242300.0
1746052833.49,37.87375403030381,-122.25574011761842,31.5,2.0,4.0,4.0,24.8753125,46.25069023799395,1000.4578487600368,107.05194610731915,245459.5
1746052835.45,37.87374599641422,-122.25578784900922,38.5,2.0,4.0,4.0,24.86486328125,45.92951605249668,1000.486563440625,106.8104073028099,247650.5
1746052837.48,37.87374497611757,-122.25581247787947,30.0,2.0,4.0,4.0,24.852265625,45.64745682124166,1000.5183666046835,106.5428958631091,249510.0
1746052839.45,37.87374462892416,-122.25581757304985,32.5,2.0,4.0,4.0,24.84376953125,45.405062041725564,1000.5504548476524,106.27299345390279,250227.0
1746052841.48,37.87373102886001,-122.25583637204929,32.5,2.0,4.0,4.0,24.83234375,45.24297722854942,1000.590233674863,105.93841397506608,253423.5
1746052843.45,37.873726660534444,-122.25584137016276,36.0,2.0,4.0,4.0,24.81310546875,45.05635410491703,1000.653922009717,105.40275269812356,255465.5
1746052845.48,37.87372572392855,-122.25584251892445,40.0,2.0,4.0,4.0,24.78634765625,44.904681833587645,1000.6926974258782,105.07663933303078,258123.0
1746052847.45,37.87369279879832,-122.25595361821415,42.0,2.0,4.0,4.0,24.755000000000003,44.78228205153875,1000.7124749284719,104.91030829624702,257261.5
1746052849.45,37.87367718765964,-122.25601161841269,42.0,2.0,4.0,4.0,24.70685546875,44.68173061116176,1000.7465643795899,104.6236189797197,259953.5
1746052851.53,37.87367390675512,-122.25602356515839,35.5,2.0,4.0,4.0,24.639277343750003,44.59379581567278,1000.7699846408325,104.42666057643305,261322.5
1746052853.45,37.87366776743364,-122.2560628512711,40.5,2.0,4.0,4.0,24.5801953125,44.54245626823672,1000.8225273747099,103.9848037025315,260539.5
1746052855.46,37.87366864310566,-122.25607292050138,35.5,2.0,3.5,3.5,24.5801953125,44.54245626823672,1000.8225273747099,103.9848037025315,260539.5
1746052857.45,37.87366864515195,-122.25607471647511,39.0,2.0,3.5,3.5,24.522480468749997,44.55052775835193,1000.8187565289722,104.01651387695125,260928.5
1746052859.47,37.873682824785284,-122.25599583115309,39.0,2.0,3.0,3.0,24.4520703125,44.580814372759406,1000.8525064632097,103.73270467502115,262506.5
1746052861.45,37.873697424936026,-122.25592355545125,40.5,2.0,3.0,3.0,24.374140625000003,44.592454756132035,1000.9046633120311,103.29412150434125,264502.5
