time,pm 1.0,pm 2.5,pm 10,temperature,gas,humidity,pressure,altitude
1740009060.941225,0,1,1,23.5723828125,115582,50.8618985779866,1011.1221657057312,17.730756056563408
1740009061.9556274,0,2,2,23.542890625,115979,50.8833789483986,1011.102548288976,17.89436399710483
1740009062.9681375,0,2,2,23.507734375,116460,50.910451409393445,1011.0790320462933,18.090491271766467
1740009063.9793303,0,2,2,23.4727734375,116863,50.93755175903309,1011.0487734329836,18.342855870523938
1740009064.9904466,0,2,2,23.433125,117432,50.951414620918904,1011.0161994413224,18.614538154207068
1740009066.0015213,0,0,1,23.390546875,115979,50.97754066502297,1010.9841607051368,18.881763071499883
1740009067.0126078,0,0,1,23.346015625,118255,51.009738507524084,1010.9542403525204,19.13132541658041
1740009068.0239341,0,0,1,23.2985546875,118587,51.02260229085424,1010.9019258647528,19.567689131236417
1740009069.0369594,0,1,1,23.2520703125,117269,51.02295282465941,1010.8564839622107,19.946742325943696
1740009070.0498865,0,1,1,23.1958203125,117678,51.04101119596845,1010.8128268823066,20.310920434916934
1740009071.062931,0,1,1,23.139375,118255,51.04640672124005,1010.7741358505776,20.633683467571732
1740009072.0753329,0,1,1,23.0856640625,118255,51.06479495580204,1010.7469263535945,20.86067280291181
1740009073.0883083,0,1,1,23.0325390625,118587,51.089580821637746,1010.7206593353028,21.0798044075992
1740009074.1013806,0,1,1,22.9735546875,119427,51.113617896076924,1010.7007396326693,21.245986846339328
1740009075.1144478,0,1,1,22.9176953125,119090,51.138058703879025,1010.6929297409713,21.31114250094857
1740009076.1275458,0,1,1,22.8596875,119090,51.162226875575456,1010.681620301443,21.405494587716824
1740009077.140539,0,1,1,22.7971875,119766,51.21743455815026,1010.6841529682015,21.384365049575347
1740009078.1534271,0,1,1,22.738203125,120107,51.25413268993914,1010.685326304381,21.37457615229337
1740009079.1677556,0,1,1,22.68234375,120021,51.34184182465646,1010.6792236962019,21.425489030994445
1740009080.1805947,0,1,1,22.626484375,119766,51.40426952091214,1010.6695847263334,21.505905597784512
1740009081.1933434,0,0,0,22.5743359375,120795,51.44820093599853,1010.6747663042836,21.462676346215797
1740009082.205286,0,0,0,22.52375,120708,51.5999900061036,1010.6948020404934,21.29552241352094
1740009083.2183957,0,0,0,22.463984375,121578,51.61130188361482,1010.6981557682644,21.267543230320793
1740009084.2316742,0,1,1,22.395625,121141,51.95117166841537,1010.7033871775375,21.223899242170937
1740009085.2447658,0,1,1,22.3141796875,121665,51.782111224096525,1010.7049526438112,21.21083908917842
1740009086.257383,0,1,1,22.2096875,122817,51.80668819057257,1010.6989838663011,21.260634658889145
1740009087.2699742,0,1,1,22.11828125,123265,51.87733599255857,1010.6913419395923,21.324389115842745
1740009088.282609,0,1,1,22.029609375,122549,51.980070703233,1010.6881072265768,21.351375539300506
1740009089.295265,0,1,1,21.939375,123265,52.06360910266829,1010.6840593719451,21.385145903877962
1740009090.3078706,0,0,0,21.8423046875,123265,52.19073402067569,1010.6794255790049,21.423804757867643
1740009091.3204315,0,0,0,21.7395703125,122727,52.3108421612303,1010.6778611868612,21.43685621666329
1740009092.3326027,0,0,0,21.6426953125,122460,52.46990828472043,1010.678737736381,21.42954331041281
1740009093.3449259,0,0,0,21.5399609375,123265,52.63468781882811,1010.6805998990764,21.414007615078003
1740009094.35815,0,0,0,21.4364453125,122817,52.79948373741547,1010.6741103093877,21.46814921900691
1740009095.3707652,0,0,0,21.3337109375,123175,52.97724362703725,1010.6793944280184,21.42406464511768
1740009096.3833437,0,0,0,21.224140625,123990,53.160630438606695,1010.6805448855594,21.414466582826865
1740009097.3956263,0,0,0,21.133515625,123446,53.353018225981984,1010.6808165054224,21.412200507995617
1740009098.4081485,0,0,0,21.0368359375,122996,53.538392289651306,1010.6782327727882,21.433756136705483
