Time,Latitude,Longitude,counts
1744842265.0,37.87535597396415,-122.25894234119345,38.0
1744842267.02,37.87536564452069,-122.25892940173668,38.5
1744842269.01,37.875366332275235,-122.25892843159241,38.5
1744842271.0,37.87538429946333,-122.2589326412566,39.5
1744842273.01,37.875386923759855,-122.25893785231345,36.0
1744842274.98,37.87538720825895,-122.25893801732062,36.0
1744842277.0,37.87538331062277,-122.25893150310291,36.5
1744842279.0,37.87537992077605,-122.25893094811259,35.5
1744842281.0,37.87537978740327,-122.25893080132002,37.5
1744842282.99,37.87534379431986,-122.2588826134554,37.5
1744842285.01,37.87533241350042,-122.25887062420237,38.5
1744842287.01,37.87533170385405,-122.25886976785169,34.0
1744842289.0,37.87534624186876,-122.2589101995938,42.5
1744842291.04,37.8753510409868,-122.2589263828378,34.0
1744842292.99,37.87535139263852,-122.25892749213335,34.0
1744842295.0,37.875443313805036,-122.25892693061097,31.0
1744842297.02,37.87546921687163,-122.25892800273151,33.0
1744842299.0,37.87547089515451,-122.25892805677043,41.0
1744842301.0,37.87545079329845,-122.25896864502194,30.0
1744842302.98,37.87544318243898,-122.2589807111251,30.0
1744842305.0,37.87544276627234,-122.25898148081532,33.5
1744842307.04,37.87548013136912,-122.25897483707135,28.5
1744842309.0,37.87548850813879,-122.2589726943472,40.5
1744842311.01,37.875489109026525,-122.2589725853784,32.5
1744842312.98,37.87549720798585,-122.25895714927064,32.5
1744842315.01,37.875495491162575,-122.25895246574204,35.5
1744842317.02,37.875495485705734,-122.25895217041892,42.0
1744842319.01,37.87556283487752,-122.25898025831127,36.5
1744842321.02,37.87557897669752,-122.25898822151937,37.0
1744842322.98,37.87558009602335,-122.25898873912335,37.0
1744842325.0,37.87559631269712,-122.25900535036921,36.5
1744842327.01,37.87559745477304,-122.25900885105507,39.5
1744842329.01,37.87559763835921,-122.25900910864145,34.5
1744842331.01,37.8757264612258,-122.25900384229489,35.0
1744842333.01,37.87576083486451,-122.2590032262121,35.0
1744842335.0,37.87576202511249,-122.25900308841473,44.5
1744842337.0,37.875709982097895,-122.25898228270384,33.5
1744842339.01,37.87568850466079,-122.25897632094309,48.5
1744842340.98,37.875742851791784,-122.25909596320452,48.5
1744842343.01,37.875745250434434,-122.25906839445202,42.5
1744842345.0,37.87576989644942,-122.25905846630317,38.0
1744842347.0,37.87578449980252,-122.25905440001077,33.5
1744842349.0,37.875797554624576,-122.2590524851168,37.5
1744842350.99,37.8758129644164,-122.25905494158758,37.5
1744842353.0,37.875822532799496,-122.25905720221655,40.0
1744842355.0,37.87582528186212,-122.25905026678552,38.0
1744842357.01,37.875831364689425,-122.25904986273707,38.5
1744842358.98,37.875837210560945,-122.25904911004136,38.5
1744842361.01,37.87584997997846,-122.25905212983116,42.5
1744842363.0,37.8758554535091,-122.25905342419368,33.0
1744842365.0,37.87585625432148,-122.25905361355893,35.5
1744842367.01,37.87585337890724,-122.25905293360105,34.0
1744842368.98,37.87585335272564,-122.25905292742483,34.0
1744842371.01,37.87584933527305,-122.25905197735592,41.0
1744842373.0,37.875844533848046,-122.2590508419003,40.5
1744842375.02,37.87586552155635,-122.25897891810793,43.5
1744842376.99,37.875863938069074,-122.25897245704823,43.5
1744842379.0,37.87587694033609,-122.25899589248631,32.5
1744842381.01,37.875869217405736,-122.25898842605405,38.0
1744842383.0,37.875860051600206,-122.25899393000016,32.5
1744842385.01,37.87585563354012,-122.25899550444889,40.5
1744842386.98,37.875923488043064,-122.25901686013516,40.5
1744842389.0,37.87592766536027,-122.2590287687905,34.5
1744842391.01,37.8759107866196,-122.25904192804866,31.5
1744842393.02,37.87589473828855,-122.25905006319769,29.5
1744842395.01,37.875883614334064,-122.2590618455836,38.0
1744842396.98,37.875870440508,-122.2590626387358,38.0
1744842399.0,37.875860228884825,-122.25906780414905,38.5
1744842401.02,37.875857746778735,-122.25904941234758,32.5
1744842403.0,37.87585254872492,-122.25904779160673,39.5
1744842405.02,37.87586429368268,-122.25903818051937,45.0
1744842406.98,37.87586241618263,-122.25904326030327,45.0
1744842409.0,37.875873569725314,-122.25904624727525,38.0
1744842411.03,37.8758876785727,-122.25904321041286,34.5
1744842413.0,37.87588826881274,-122.2590422363453,34.5
1744842414.99,37.87589498789541,-122.25903883959114,34.5
1744842417.0,37.87590094402306,-122.25902794266702,39.5
1744842419.0,37.875910091867894,-122.25902663825613,35.5
1744842421.0,37.87590969971488,-122.25902831094278,42.5
1744842423.0,37.875911848554516,-122.25901604590574,36.0
1744842425.0,37.875903040529856,-122.25901763977149,36.0
1744842427.02,37.87590663092271,-122.25900675529267,40.5
1744842429.01,37.87591152455998,-122.25900927944593,35.0
1744842431.0,37.87590745714567,-122.25900189863277,31.5
1744842432.98,37.8759044602017,-122.25900553098049,31.5
1744842435.02,37.87591358072575,-122.25900600203936,33.5
1744842437.0,37.87590462416832,-122.25901475460718,35.5
1744842439.0,37.87589778354099,-122.2590327741772,40.0
1744842441.0,37.87589002921144,-122.25904821961828,32.5
1744842443.0,37.87589327452955,-122.25905114417039,32.5
1744842445.01,37.87588755929805,-122.25904789924382,37.0
1744842447.01,37.87589592752823,-122.2590493073046,33.0
1744842449.0,37.87588814657925,-122.25907704509015,36.5
1744842451.0,37.875887425321764,-122.25907942803292,39.0
1744842452.98,37.87589250805757,-122.25906878169046,39.0
1744842455.01,37.875901927792,-122.25906569104947,34.5
1744842457.0,37.87590216280773,-122.25904476221244,37.5
1744842459.0,37.87589355947945,-122.25903782557792,28.0
1744842460.98,37.87589335870511,-122.25903036532262,28.0
1744842463.0,37.87589618684794,-122.25903187634603,31.0
1744842465.02,37.87589971167094,-122.25900177019513,33.0
1744842467.01,37.87588555705328,-122.2589643173372,36.5
1744842469.0,37.875914796438806,-122.25895548392961,36.5
1744842470.99,37.87589703416321,-122.25893137037816,36.5
1744842473.01,37.87592341102108,-122.25891142111847,36.5
1744842475.0,37.875928245884964,-122.25886475646482,36.0
1744842477.0,37.87594903600089,-122.25887853961598,44.5
1744842479.0,37.87593993595957,-122.25883903459483,31.0
1744842480.99,37.875941734132354,-122.25883406490817,31.0
1744842483.01,37.875928059821824,-122.25882179337613,36.5
1744842485.02,37.87593006957085,-122.25880376851013,42.0
1744842487.01,37.87594614718011,-122.25878854547793,43.0
1744842488.98,37.87594182932889,-122.25877552162379,43.0
1744842491.0,37.875948690029595,-122.25876727241618,36.0
1744842493.0,37.875953796442055,-122.2587626215761,36.0
1744842495.01,37.875955824000286,-122.25874608005955,40.5
1744842497.0,37.87597067353891,-122.25873292049833,38.0
1744842498.99,37.87597083700647,-122.25870945346243,38.0
1744842501.01,37.875960738958604,-122.25870364134035,50.5
1744842503.0,37.87596559707671,-122.25869993778306,40.0
1744842505.0,37.87596953464699,-122.25869129740278,41.5
1744842506.99,37.87596799742605,-122.25869989762447,41.5
1744842509.02,37.87596172830104,-122.25867843875868,34.5
1744842511.0,37.8759646828154,-122.25867876364268,38.5
1744842513.0,37.87597100532343,-122.25866467197018,28.0
1744842515.01,37.875974383885975,-122.25866249562768,31.0
1744842516.98,37.875969278105856,-122.25865118871482,31.0
1744842519.02,37.87597385560947,-122.25864151964727,30.0
1744842521.0,37.8759834774062,-122.25863272583466,23.0
1744842523.0,37.87599275538541,-122.25861700614799,21.5
1744842525.02,37.87599170836591,-122.25861420677592,33.0
1744842526.98,37.87599170836591,-122.25861420677592,33.0
1744842529.01,37.87599170836591,-122.25861420677592,25.0
1744842531.0,37.87599170836591,-122.25861420677592,24.5
1744842533.01,37.87599170836591,-122.25861420677592,30.0
1744842534.99,37.87599170836591,-122.25861420677592,30.0
1744842537.01,37.87599170836591,-122.25861420677592,30.0
1744842539.0,37.87599170836591,-122.25861420677592,22.5
1744842541.0,37.87599170836591,-122.25861420677592,24.0
1744842543.0,37.87599170836591,-122.25861420677592,36.5
1744842544.99,37.87599170836591,-122.25861420677592,36.5
1744842547.0,37.87599170836591,-122.25861420677592,30.5
1744842549.0,37.87599170836591,-122.25861420677592,31.5
1744842551.0,37.87599170836591,-122.25861420677592,36.0
1744842553.01,37.87599170836591,-122.25861420677592,26.0
1744842555.0,37.87599170836591,-122.25861420677592,26.0
1744842557.0,37.87599170836591,-122.25861420677592,28.0
1744842559.0,37.87599170836591,-122.25861420677592,32.5
1744842561.0,37.87599170836591,-122.25861420677592,24.5
1744842562.99,37.87599170836591,-122.25861420677592,24.5
1744842565.01,37.87599170836591,-122.25861420677592,22.5
1744842567.0,37.87599170836591,-122.25861420677592,32.0
1744842569.0,37.87599170836591,-122.25861420677592,27.0
1744842571.0,37.87599170836591,-122.25861420677592,21.0
1744842573.0,37.87599170836591,-122.25861420677592,21.0
