Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745451940.23,37.87536618125006,-122.25697507498359,25.0,4.0,5.0,5.0,17.8356640625,50.393919451790964,1001.2285937480624,100.57063310934464,148950.5
1745451942.27,37.87536386550345,-122.25697423729335,33.5,4.0,5.0,6.0,17.65216796875,50.62693626347632,1001.2117455088339,100.71226933244677,149704.5
1745451944.24,37.875361495432685,-122.25697315120908,39.5,4.0,5.0,6.0,17.5415234375,50.91775389249611,1001.1762349478272,101.01079847244112,150022.0
1745451946.29,37.87536193773225,-122.25686085847187,39.5,4.0,5.0,6.0,17.51388671875,51.182515852232726,1001.1381745678008,101.33077268649299,150468.0
1745451948.23,37.87536193773225,-122.25686085847187,33.0,4.0,5.0,6.0,17.52169921875,51.39397812748518,1001.114789359347,101.52737731071366,150853.0
1745451950.28,37.87535943013924,-122.25685466784547,25.0,4.0,5.0,6.0,17.50587890625,51.55696234988147,1001.0973166082873,101.67427709744894,151111.0
1745451952.26,37.87527765572433,-122.25694010353541,39.5,4.0,5.0,6.0,17.497578125,51.71795609032114,1001.0702426935728,101.9019016029194,151304.5
1745451954.26,37.87527274833946,-122.25694046826965,39.5,3.0,5.0,6.0,17.4645703125,51.87298104477895,1001.0522528213612,102.05315446302288,151369.5
1745451956.24,37.875236052794406,-122.25682988618898,38.0,3.0,5.0,6.0,17.476191406250003,52.045895375307566,1001.0388684188217,102.16568743934018,152217.0
1745451958.27,37.87523601117459,-122.25682974213642,33.0,3.0,5.0,5.5,17.4925,52.18276193533882,1001.0168334173004,102.35095565819222,152479.5
1745451960.25,37.875233697906204,-122.25681715820583,32.0,3.0,5.0,5.5,17.464472656250003,52.25288661006508,1000.9957515278895,102.52821291350955,153006.5
1745451962.27,37.87523028951816,-122.25680494246477,40.5,3.0,5.0,5.0,17.4594921875,52.338169775230114,1000.9853936424383,102.6153037109722,153670.5
1745451964.23,37.875254938534944,-122.2568095812594,40.5,3.0,5.0,5.0,17.46349609375,52.396976454492346,1000.9679870500008,102.76166248610787,154410.0
1745451966.27,37.875254938534944,-122.2568095812594,42.5,3.0,5.0,5.0,17.43185546875,52.43602405631498,1000.9498580445265,102.9140978004533,155359.0
1745451968.23,37.875183542650454,-122.2565633718631,42.0,3.0,5.0,5.0,17.415546874999997,52.48619626592408,1000.9256504086702,103.11764805706798,155427.0
1745451970.28,37.87518125336618,-122.25651296003366,36.5,3.0,4.5,5.0,17.406269531249997,52.56797647411353,1000.90612566447,103.28182493380646,155837.5
1745451972.24,37.875180952982255,-122.25650634539933,36.5,3.0,4.5,5.0,17.41291015625,52.691735870070524,1000.8798632981336,103.50266031671153,155841.5
1745451974.29,37.875191664575155,-122.25649281692374,43.0,3.0,4.0,5.0,17.4091015625,52.80504404797038,1000.8807944171501,103.49483057759768,155564.0
